iter	Passed	Remaining
0	1	177
1	3	171
2	5	172
3	6	154
4	7	149
5	9	145
6	10	143
7	12	139
8	13	137
9	15	135
10	16	132
11	17	130
12	19	129
13	21	132
14	23	134
15	25	134
16	27	132
17	28	130
18	29	127
19	31	124
20	32	123
21	34	120
22	35	119
23	37	117
24	38	115
25	39	113
26	41	111
27	42	109
28	44	107
29	45	105
30	46	104
31	48	102
32	49	100
33	51	99
34	52	97
35	54	96
36	55	94
37	56	92
38	58	90
39	59	89
40	60	87
41	61	84
42	62	82
43	63	81
44	65	79
45	66	78
46	67	76
47	68	74
48	70	73
49	71	71
50	72	70
51	74	68
52	76	67
53	77	65
54	78	63
55	79	62
56	80	60
57	81	59
58	83	57
59	84	56
60	86	55
61	87	53
62	89	52
63	90	50
64	92	49
65	93	48
66	94	46
67	96	45
68	97	43
69	98	42
70	100	41
71	101	39
72	103	38
73	104	36
74	105	35
75	107	33
76	108	32
77	109	30
78	111	29
79	112	28
80	113	26
81	115	25
82	117	24
83	118	22
84	119	21
85	121	19
86	122	18
87	123	16
88	124	15
89	126	14
90	128	12
91	129	11
92	130	9
93	132	8
94	133	7
95	134	5
96	135	4
97	137	2
98	138	1
99	140	0
